endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,42.3,68.6,68.6
invoices.last,10,200,38297,65.5,71.2,71.2
invoices.search.hit,10,200,38453,282.9,316.8,316.8
invoices.search.miss,10,200,50,210.1,239.8,239.8
invoices.daterange,10,200,38452,71.7,90.6,90.6
invoices.status,10,200,50,117.6,132.5,132.5
contacts.page1,10,200,24027,36.5,60.0,60.0
contacts.last,10,200,23977,62.2,93.2,93.2
contacts.search.hit,10,200,23932,573.2,662.3,662.3
contacts.search.miss,10,200,50,443.8,503.2,503.2
products.page1,10,200,39821,27.0,30.5,30.5
products.last,10,200,39875,39.4,59.4,59.4
products.search.hit,10,200,39970,191.9,216.1,216.1
purchase-bills.page1,10,200,48809,49.4,126.3,126.3
purchase-bills.last,10,200,48646,56.6,84.4,84.4
accounts.page1,10,200,4880,21.5,48.1,48.1
payments.page1,10,200,29224,45.4,68.0,68.0
journal-vouchers.page1,10,200,50,17.8,28.7,28.7
stmt.trial-balance,10,200,2741,1447.3,1536.7,1536.7
stmt.balance-sheet,10,200,847,1452.6,1592.7,1592.7
stmt.income-statement,10,200,609,1346.4,1785.5,1785.5
stmt.income-statement.compare,10,200,610,1005.7,1993.8,1993.8
reg.sales-register,10,200,20419,1057.6,1173.6,1173.6
reg.sales-register.last,10,200,20523,909.3,1263.8,1263.8
reg.purchase-register,10,200,21258,888.8,954.1,954.1
rep.journal-report,10,200,34516,170.8,271.2,271.2
rep.detail-general-ledger,10,200,14514,1260.8,2840.8,2840.8
rep.general-ledger-summary,10,200,5063,1075.9,1199.6,1199.6
rep.customer-ageing,10,200,11965,1014.3,1149.8,1149.8
rep.sales-by-customer,10,200,13400,1776.7,1861.2,1861.2
cheques.page1,10,200,19964,53.6,95.3,95.3
cheques.last,10,200,19948,77.3,80.9,80.9
cheques.received,10,200,20260,66.2,71.3,71.3
cheques.status,10,200,19890,44.6,70.1,70.1
cheques.daterange,10,200,19985,39.7,66.3,66.3
cheques.search.hit,10,200,19830,1791.9,1945.0,1945.0
cheques.search.miss,10,200,50,857.3,941.5,941.5
cheques.dashboard,10,200,43,66.5,71.8,71.8
search.common,10,200,791,495.3,763.5,763.5
search.code,10,200,801,472.9,711.9,711.9
search.miss,10,200,2,866.6,993.2,993.2
