endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,48.2,52.5,52.5
invoices.last,10,200,38297,71.0,99.3,99.3
invoices.search.hit,10,200,38453,276.9,302.5,302.5
invoices.search.miss,10,200,50,258.7,275.2,275.2
invoices.daterange,10,200,38452,74.5,84.1,84.1
invoices.status,10,200,50,116.1,131.9,131.9
contacts.page1,10,200,24027,41.7,45.2,45.2
contacts.last,10,200,23977,66.1,73.0,73.0
contacts.search.hit,10,200,23932,616.6,656.8,656.8
contacts.search.miss,10,200,50,486.9,509.2,509.2
products.page1,10,200,39821,34.3,50.8,50.8
products.last,10,200,39875,41.6,60.6,60.6
products.search.hit,10,200,39970,217.4,225.5,225.5
purchase-bills.page1,10,200,48809,36.8,41.4,41.4
purchase-bills.last,10,200,48646,45.1,56.9,56.9
accounts.page1,10,200,4880,22.2,23.4,23.4
payments.page1,10,200,50,16.0,26.9,26.9
journal-vouchers.page1,10,200,50,16.3,45.6,45.6
stmt.trial-balance,10,200,2741,1099.3,1190.8,1190.8
stmt.balance-sheet,10,200,847,1158.7,1209.9,1209.9
stmt.income-statement,10,200,609,1188.7,1240.3,1240.3
stmt.income-statement.compare,10,200,610,1221.8,1306.6,1306.6
reg.sales-register,10,200,20725,1126.1,1238.3,1238.3
reg.sales-register.last,10,200,20829,1096.2,1303.5,1303.5
reg.purchase-register,10,200,21462,964.8,997.9,997.9
rep.journal-report,10,200,34516,145.2,170.8,170.8
rep.detail-general-ledger,10,200,14514,1759.9,1841.5,1841.5
rep.general-ledger-summary,10,200,5063,1176.9,1288.8,1288.8
rep.customer-ageing,10,200,11965,1036.8,1141.2,1141.2
rep.sales-by-customer,10,200,13400,1500.3,1928.9,1928.9
search.common,10,200,791,474.4,523.7,523.7
search.code,10,200,801,569.2,656.4,656.4
search.miss,10,200,2,816.9,885.6,885.6
