endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,41.7,61.8,61.8
invoices.last,10,200,38297,58.8,84.0,84.0
invoices.search.hit,10,200,38453,248.4,295.3,295.3
invoices.search.miss,10,200,50,233.7,264.7,264.7
invoices.daterange,10,200,38452,65.3,89.7,89.7
invoices.status,10,200,50,116.8,132.7,132.7
contacts.page1,10,200,24027,37.6,42.5,42.5
contacts.last,10,200,23977,63.9,86.4,86.4
contacts.search.hit,10,200,23932,612.2,644.1,644.1
contacts.search.miss,10,200,50,478.2,510.8,510.8
products.page1,10,200,39821,26.9,28.0,28.0
products.last,10,200,39875,36.5,49.0,49.0
products.search.hit,10,200,39970,210.7,229.7,229.7
purchase-bills.page1,10,200,48809,30.3,42.9,42.9
purchase-bills.last,10,200,48646,39.4,81.2,81.2
accounts.page1,10,200,4880,28.0,43.9,43.9
payments.page1,10,200,50,14.8,27.3,27.3
journal-vouchers.page1,10,200,50,13.7,27.7,27.7
stmt.trial-balance,10,200,2741,1170.9,1547.8,1547.8
stmt.balance-sheet,10,200,847,1109.8,1243.5,1243.5
stmt.income-statement,10,200,609,1169.7,1285.9,1285.9
stmt.income-statement.compare,10,200,610,1151.7,1263.3,1263.3
reg.sales-register,10,200,20725,1050.5,1292.2,1292.2
reg.sales-register.last,10,200,20829,1000.3,1057.2,1057.2
reg.purchase-register,10,200,21462,791.3,907.4,907.4
rep.journal-report,10,200,34516,163.1,330.4,330.4
rep.detail-general-ledger,10,200,14514,1732.9,1820.1,1820.1
rep.general-ledger-summary,10,200,5063,1179.6,1247.5,1247.5
rep.customer-ageing,10,200,11965,1004.8,1078.8,1078.8
rep.sales-by-customer,10,200,13400,1766.5,3708.9,3708.9
search.common,10,200,791,511.6,529.0,529.0
search.code,10,200,801,656.3,697.6,697.6
search.miss,10,200,2,825.3,856.8,856.8
